date,adjusted
2016-12-02,111.654984
2016-12-05,112.523499
2016-12-06,112.793709
2016-12-07,114.221962
2016-12-08,114.424622
2016-12-09,115.322121
2016-12-12,114.80101
2016-12-13,116.24855
2016-12-14,116.007286
2016-12-15,116.190636
2016-12-16,115.759941
2016-12-19,116.234207
2016-12-20,116.679428
2016-12-21,116.592331
2016-12-22,116.263252
2016-12-23,116.340683
2016-12-27,116.940773
2016-12-28,116.03096
2016-12-29,115.866409
2016-12-30,114.675896
2017-01-03,115.701859
2017-01-04,116.330994
2017-01-05,116.989182
2017-01-06,118.015137
2017-01-09,118.402283
2017-01-10,118.663612
2017-01-11,118.983017
2017-01-12,118.799118
2017-01-13,119.205627
2017-01-17,118.847511
2017-01-18,119.0895
2017-01-19,119.03141
2017-01-20,119.292725
2017-01-23,119.389542
2017-01-24,120.192886
2017-01-25,121.40274
2017-01-26,121.528564
2017-01-27,121.760895
2017-01-30,120.812332
2017-01-31,120.570358
2017-02-01,121.40274
2017-02-02,121.296265
2017-02-03,121.644722
2017-02-06,121.789917
2017-02-07,122.235153
2017-02-08,122.4384
2017-02-09,122.883636
2017-02-10,123.290131
2017-02-13,123.987022
2017-02-14,124.403229
2017-02-15,125.138824
2017-02-16,125.100105
2017-02-17,125.642113
2017-02-21,126.261574
2017-02-22,126.309967
2017-02-23,125.835693
2017-02-24,126.077667
2017-02-27,126.232536
2017-02-28,125.845367
2017-03-01,127.219803
2017-03-02,126.580963
2017-03-03,126.813286
2017-03-06,126.53257
2017-03-07,126.319626
2017-03-08,126.542274
2017-03-09,126.639038
2017-03-10,127.171387
2017-03-13,127.384331
2017-03-14,127.074562
2017-03-15,127.858582
2017-03-16,127.7715
2017-03-17,127.726875
2017-03-20,127.843224
2017-03-21,125.903465
2017-03-22,126.756958
2017-03-23,126.436905
2017-03-24,126.698761
2017-03-27,126.902428
2017-03-28,127.678368
2017-03-29,128.27002
2017-03-30,128.483398
2017-03-31,128.396149
2017-04-03,128.318512
2017-04-04,128.522141
2017-04-05,127.998459
2017-04-06,128.066299
2017-04-07,127.998459
2017-04-10,128.046951
2017-04-11,127.494087
2017-04-12,126.980042
2017-04-13,126.475677
2017-04-17,127.523186
2017-04-18,127.329208
2017-04-19,127.532906
2017-04-20,128.599792
2017-04-21,128.570679
2017-04-24,130.122543
2017-04-25,131.063339
2017-04-26,130.879074
2017-04-27,131.664688
2017-04-28,131.897461
2017-05-01,133.07106
2017-05-02,133.294128
2017-05-03,132.867371
2017-05-04,132.915863
2017-05-05,133.400803
2017-05-08,133.691803
2017-05-09,134.157349
2017-05-10,134.234924
2017-05-11,134.128235
2017-05-12,134.428925
2017-05-15,134.855652
2017-05-16,135.418213
2017-05-17,131.975037
2017-05-18,133.129242
2017-05-19,133.691803
2017-05-22,134.816864
2017-05-23,134.952652
2017-05-24,135.573395
2017-05-25,136.727615
2017-05-26,136.970062
2017-05-30,137.086441
2017-05-31,137.037979
2017-06-01,137.571396
2017-06-02,139.142639
2017-06-05,139.113556
2017-06-06,138.56073
2017-06-07,139.103867
2017-06-08,139.249359
2017-06-09,135.76738
2017-06-12,135.039932
2017-06-13,136.135956
2017-06-14,135.544327
2017-06-15,134.942963
2017-06-16,134.357483
2017-06-19,136.604065
2017-06-20,135.534302
2017-06-21,136.876373
2017-06-22,136.837494
2017-06-23,137.362671
2017-06-26,136.720795
2017-06-27,134.240753
2017-06-28,136.176178
2017-06-29,133.812881
2017-06-30,133.861511
2017-07-03,132.451324
2017-07-05,133.754532
2017-07-06,132.548523
2017-07-07,133.978195
2017-07-10,134.8535
2017-07-11,135.232788
2017-07-12,136.837494
2017-07-13,137.138992
2017-07-14,138.218506
2017-07-17,138.286591
2017-07-18,139.21051
